chr pos between within.both pubescens formosa
Chr_01 5000 0.1493574828 0.1386239235 0.150221177 0.12702667
Chr_01 10000 0.1336654924 0.1117230715 0.109489693 0.11395645
Chr_01 15000 0.1254212988 0.1073013785 0.09658514 0.118017617
Chr_01 20000 0.1429076028 0.1403805335 0.116303866 0.164457201
Chr_01 25000 0.14561959 0.1219258025 0.104041662 0.139809943
Chr_01 30000 0.1467944152 0.1163274535 0.102611039 0.130043868
Chr_01 35000 0.1357300524 0.115565979 0.096388146 0.134743812
Chr_01 40000 0.1230787724 0.1034092335 0.088296087 0.11852238
Chr_01 45000 0.1211209216 0.0972336905 0.088921125 0.105546256
Chr_01 50000 0.1340475032 0.111362573 0.094429925 0.128295221
Chr_01 55000 0.1411750076 0.113979024 0.091908922 0.136049126
Chr_01 60000 0.1465200712 0.1078081405 0.089807103 0.125809178
Chr_01 65000 0.1443320556 0.11700026 0.112786065 0.121214455
Chr_01 70000 0.137529318 0.1142170115 0.119078565 0.109355458
Chr_01 75000 0.1336596076 0.108189231 0.10300455 0.113373912
Chr_01 80000 0.1264498184 0.111526226 0.100117116 0.122935336
Chr_01 85000 0.1371200116 0.1232129965 0.097714194 0.148711799
Chr_01 90000 0.1521239824 0.123088895 0.097083764 0.149094026
Chr_01 95000 0.1406434336 0.1183726645 0.094879432 0.141865897
Chr_01 100000 0.1431603612 0.107224322 0.091057182 0.123391462
Chr_01 105000 0.149739424 0.1180301375 0.106606614 0.129453661
Chr_01 110000 0.1342115388 0.1219967595 0.106934026 0.137059493
Chr_01 115000 0.12758686 0.1190629365 0.104238186 0.133887687
Chr_01 120000 0.1329214384 0.1172781125 0.099471817 0.135084408
Chr_01 125000 0.1143798132 0.097814706 0.079238979 0.116390433
Chr_01 130000 0.098536466 0.0939567625 0.075895789 0.112017736
Chr_01 135000 0.1222482624 0.1225001415 0.083861097 0.161139186
Chr_01 140000 0.1225510708 0.119743149 0.079756221 0.159730077
Chr_01 145000 0.0967292692 0.089141662 0.063792814 0.11449051
Chr_01 150000 0.1248769076 0.107538998 0.078634374 0.136443622
Chr_01 155000 0.1132475984 0.104892419 0.084721497 0.125063341
Chr_01 160000 0.106662944 0.1001270965 0.083194534 0.117059659
Chr_01 165000 0.1215134832 0.1078197535 0.091595267 0.12404424
Chr_01 170000 0.1258681528 0.111527682 0.097122236 0.125933128
Chr_01 175000 0.1254405668 0.116854992 0.10070122 0.133008764
Chr_01 180000 0.1461910388 0.1340923155 0.101856938 0.166327693
Chr_01 185000 0.1035988176 0.095755836 0.085639191 0.105872481
Chr_01 190000 0.1009443688 0.0907346865 0.083249194 0.098220179
Chr_01 195000 0.138980804 0.106666748 0.081686424 0.131647072
Chr_01 200000 0.1412546564 0.110516411 0.097625634 0.123407188
Chr_01 205000 0.1522277368 0.114869918 0.09861194 0.131127896
Chr_01 210000 0.1408326924 0.106609537 0.086611675 0.126607399
